loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,int_rate2,int_rate3
21000,21000,36,12.69,704.45,6.0,MORTGAGE,76000.0,1.0,debt_consolidation,SC,19.68,0.0,0.0,10.0,42111.0,24.0,0.0,24877.87,21000.0,3877.87,0.12689999999999999,12.69
3950,3950,36,8.9,125.43,10.0,MORTGAGE,52800.0,1.0,car,CO,0.57,0.0,0.0,4.0,675.0,7.0,0.0,4362.74,3950.0,412.74,0.08900000000000001,8.9
35000,35000,60,12.69,790.82,6.0,MORTGAGE,68000.0,0.0,other,DE,8.58,0.0,0.0,16.0,7504.0,36.0,0.0,11859.91,6779.62,5080.29,0.12689999999999999,12.69
28000,28000,36,7.9,876.13,3.0,MORTGAGE,180000.0,0.0,home_improvement,CT,7.6,0.0,81.0,13.0,202.0,23.0,13187.95,17772.32,14812.05,2960.27,0.079,7.9
20000,20000,60,17.27,499.96,10.0,MORTGAGE,100000.0,1.0,debt_consolidation,NJ,22.04,0.0,0.0,9.0,18958.0,33.0,0.0,23227.38,20000.0,3227.38,0.1727,17.27
3000,3000,36,11.71,99.23,10.0,MORTGAGE,30000.0,1.0,debt_consolidation,CA,4.8,0.0,30.0,9.0,3345.0,16.0,0.0,3398.13,3000.0,398.13,0.11710000000000001,11.71
13200,13200,36,18.49,480.47,2.0,RENT,110000.0,1.0,debt_consolidation,IL,17.02,0.0,29.0,16.0,16062.0,36.0,10546.93,4324.23,2653.07,1671.16,0.18489999999999998,18.49
21600,21600,36,7.9,675.87,10.0,MORTGAGE,95000.0,1.0,house,WI,3.42,0.0,0.0,9.0,416.0,24.0,0.0,23521.69,21600.0,1921.69,0.079,7.9
21000,21000,36,6.62,644.78,10.0,MORTGAGE,121392.0,1.0,major_purchase,PA,19.53,0.0,0.0,18.0,40721.0,37.0,15018.6,7092.58,5981.4,1111.18,0.0662,6.62
5600,5600,36,9.99,180.67,1.0,RENT,75000.0,1.0,debt_consolidation,NY,8.24,0.0,24.0,17.0,12188.0,33.0,4918.5,903.35,681.5,221.85,0.0999,9.99
16000,16000,36,10.16,517.48,0.0,RENT,155000.0,0.0,debt_consolidation,CA,26.49,0.0,0.0,18.0,58888.0,35.0,11999.79,5391.45,4000.21,1365.39,0.1016,10.16
10800,10800,36,11.14,354.3,5.0,RENT,57000.0,1.0,debt_consolidation,CA,18.32,0.0,30.0,9.0,21924.0,18.0,7307.12,4605.9,3492.88,1113.02,0.1114,11.14
5000,5000,36,6.62,153.52,2.0,MORTGAGE,33280.0,1.0,credit_card,NV,15.79,0.0,0.0,12.0,3188.0,21.0,1503.38,3975.77,3496.62,479.15,0.0662,6.62
12000,7775,60,15.27,186.08,7.0,RENT,50000.0,1.0,credit_card,VA,5.5,0.0,0.0,13.0,7008.0,25.0,5125.4,4808.96,2649.6,2159.36,0.1527,15.27
27575,27575,60,12.69,623.05,1.0,RENT,91200.0,0.0,credit_card,CA,27.69,0.0,0.0,13.0,45053.0,29.0,0.0,1866.87,1003.66,863.21,0.12689999999999999,12.69
4000,4000,36,14.65,137.98,0.0,MORTGAGE,24878.76,1.0,credit_card,NV,8.2,0.0,0.0,6.0,5741.0,11.0,1294.91,3582.8,2705.09,877.71,0.1465,14.65
35000,35000,36,9.91,1127.88,2.0,OTHER,600000.0,1.0,home_improvement,FL,1.97,0.0,0.0,7.0,0.0,11.0,0.0,36628.86,35000.0,1628.86,0.09910000000000001,9.91
11000,11000,36,12.42,367.57,1.0,RENT,22000.0,1.0,small_business,CA,9.11,1.0,22.0,7.0,5219.0,13.0,2275.27,10631.67,8724.73,1906.94,0.1242,12.42
7200,7200,36,16.29,254.17,2.0,RENT,88800.0,1.0,debt_consolidation,MD,18.14,0.0,66.0,8.0,3246.0,16.0,2366.59,6601.42,4833.41,1768.01,0.1629,16.29
10400,10400,36,13.49,352.88,0.0,RENT,50000.0,1.0,credit_card,NY,14.47,0.0,0.0,11.0,15884.0,13.0,3343.73,9143.88,7056.27,2087.61,0.1349,13.49
21000,21000,60,19.91,555.33,6.0,RENT,42000.0,1.0,debt_consolidation,CA,14.97,0.0,0.0,5.0,28632.0,12.0,14663.03,13862.75,6336.96,7525.79,0.1991,19.91
4000,4000,36,14.27,137.24,4.0,RENT,20500.0,1.0,debt_consolidation,AZ,19.26,0.0,0.0,6.0,10566.0,16.0,1299.05,3551.74,2700.95,850.79,0.1427,14.27
4800,4800,36,12.69,161.02,6.0,MORTGAGE,48000.0,0.0,home_improvement,NM,4.0,0.0,0.0,4.0,1361.0,7.0,0.0,1925.64,1398.06,527.58,0.12689999999999999,12.69
9600,9600,36,14.65,331.15,4.0,RENT,52000.0,1.0,other,PA,24.48,0.0,0.0,19.0,11930.0,43.0,0.0,11407.13,9600.0,1807.13,0.1465,14.65
19200,19200,60,20.3,511.9,10.0,MORTGAGE,150000.0,0.0,debt_consolidation,GA,6.18,0.0,40.0,10.0,17541.0,19.0,0.0,5118.17,2013.42,3088.78,0.203,20.3
3000,3000,36,6.62,92.12,6.0,MORTGAGE,40000.0,1.0,major_purchase,NY,25.68,0.0,29.0,8.0,16727.0,26.0,0.0,3106.91,3000.0,106.91,0.0662,6.62
4950,4950,36,11.71,163.73,3.0,RENT,28800.0,1.0,debt_consolidation,MN,16.21,0.0,0.0,9.0,5828.0,10.0,0.0,5303.65,4950.0,353.65,0.11710000000000001,11.71
6000,6000,36,13.49,203.59,7.0,OTHER,225000.0,1.0,credit_card,CA,4.22,0.0,0.0,12.0,13871.0,19.0,0.0,6998.76,6000.0,998.76,0.1349,13.49
1600,1600,36,15.96,56.22,5.0,RENT,72000.0,1.0,debt_consolidation,CA,6.15,1.0,23.0,7.0,3086.0,29.0,391.67,1551.83,1208.33,343.5,0.15960000000000002,15.96
20000,20000,60,19.42,523.45,3.0,RENT,110000.0,1.0,debt_consolidation,CA,11.34,0.0,0.0,17.0,24449.0,28.0,13058.15,13629.16,6941.85,6687.31,0.1942,19.42
21850,21850,60,17.27,546.21,1.0,MORTGAGE,50000.0,1.0,other,WI,24.83,0.0,0.0,14.0,14810.0,24.0,14941.49,13644.25,6908.52,6735.73,0.1727,17.27
21000,21000,60,18.25,536.13,4.0,RENT,51400.0,1.0,debt_consolidation,FL,16.06,0.0,28.0,8.0,20658.0,30.0,13791.58,13881.34,7208.42,6672.92,0.1825,18.25
7050,7050,36,7.9,220.6,1.0,RENT,83000.0,1.0,debt_consolidation,CA,20.08,0.0,0.0,10.0,22388.0,19.0,0.0,7311.38,7050.0,261.38,0.079,7.9
16000,16000,36,6.03,486.97,8.0,RENT,89000.0,1.0,debt_consolidation,TX,17.53,0.0,0.0,10.0,15497.0,33.0,5202.56,12169.75,10797.44,1372.31,0.0603,6.03
10000,10000,36,6.62,307.04,4.0,MORTGAGE,55000.0,1.0,small_business,MI,4.3,0.0,0.0,8.0,8835.0,15.0,3568.58,7354.08,6431.42,922.66,0.0662,6.62
2000,2000,36,10.65,65.15,2.0,RENT,48000.0,1.0,debt_consolidation,VA,17.29,0.0,25.0,9.0,3369.0,18.0,0.0,2205.74,2000.0,205.74,0.1065,10.65
7200,7200,36,11.71,238.15,0.0,RENT,37000.0,1.0,debt_consolidation,MA,12.82,0.0,32.0,8.0,6788.0,32.0,2479.56,5944.75,4720.43,1224.32,0.11710000000000001,11.71
11500,11500,36,6.62,353.1,3.0,RENT,60500.0,1.0,debt_consolidation,CA,16.88,0.0,0.0,11.0,21309.0,39.0,3776.46,8806.75,7723.55,1083.2,0.0662,6.62
11700,11700,36,7.51,364.0,2.0,RENT,45000.0,1.0,debt_consolidation,MI,0.0,0.0,0.0,7.0,0.0,9.0,3734.75,9215.67,7965.24,1250.43,0.0751,7.51
12000,12000,36,6.03,365.23,3.0,MORTGAGE,85000.0,1.0,debt_consolidation,CA,3.98,0.0,0.0,8.0,18443.0,17.0,0.0,12525.09,12000.01,525.08,0.0603,6.03
28000,28000,60,18.25,714.83,2.0,MORTGAGE,95000.0,1.0,other,FL,17.46,0.0,0.0,7.0,2791.0,15.0,19730.69,17098.84,8269.31,8829.53,0.1825,18.25
7500,7500,36,18.25,272.09,7.0,OTHER,70000.0,1.0,home_improvement,MA,10.41,0.0,0.0,9.0,22616.0,21.0,2741.74,6795.05,4758.26,2036.79,0.1825,18.25
6500,6500,36,6.03,197.84,7.0,MORTGAGE,71500.0,1.0,debt_consolidation,MI,10.43,0.0,0.0,11.0,22410.0,26.0,2114.58,4942.75,4385.42,557.33,0.0603,6.03
3300,3300,36,6.62,101.33,7.0,OTHER,47500.0,1.0,debt_consolidation,LA,12.86,0.0,0.0,6.0,3273.0,15.0,1090.8,2519.0,2209.2,309.8,0.0662,6.62
10000,10000,36,14.65,344.95,1.0,RENT,55000.0,1.0,credit_card,NC,16.76,0.0,0.0,14.0,10988.0,26.0,4132.48,7921.2,5867.52,2053.68,0.1465,14.65
16000,16000,36,6.03,486.97,10.0,RENT,155000.0,1.0,credit_card,NJ,6.07,0.0,0.0,8.0,26635.0,27.0,5202.34,12170.0,10797.66,1372.34,0.0603,6.03
12000,12000,36,14.65,413.94,0.0,RENT,33324.0,1.0,debt_consolidation,CA,14.93,0.0,0.0,6.0,16599.0,9.0,4242.33,10340.5,7757.66,2582.84,0.1465,14.65
10000,10000,36,14.27,343.09,5.0,RENT,90000.0,1.0,credit_card,AZ,23.76,0.0,57.0,18.0,11359.0,40.0,3531.22,8559.75,6468.77,2090.98,0.1427,14.27
1600,1600,36,7.9,50.07,4.0,RENT,20832.0,1.0,debt_consolidation,AZ,23.16,0.0,0.0,3.0,1464.0,5.0,0.0,1697.14,1600.0,97.14,0.079,7.9
5300,5300,36,13.49,179.84,1.0,RENT,45600.0,1.0,debt_consolidation,CA,3.76,0.0,46.0,5.0,4747.0,10.0,1883.08,4477.4,3416.92,1045.51,0.1349,13.49
20000,20000,36,16.29,706.01,6.0,MORTGAGE,92000.0,1.0,debt_consolidation,NC,8.8,0.0,0.0,10.0,19212.0,11.0,7181.69,17632.75,12818.31,4814.44,0.1629,16.29
2800,2800,36,7.9,87.62,10.0,RENT,54000.0,1.0,debt_consolidation,FL,13.6,0.0,0.0,4.0,3406.0,11.0,0.0,2963.43,2800.0,163.43,0.079,7.9
21000,21000,60,12.69,474.49,6.0,MORTGAGE,70000.0,0.0,debt_consolidation,SC,20.85,0.0,0.0,15.0,8865.0,34.0,15121.56,9962.87,5878.44,4084.43,0.12689999999999999,12.69
16000,16000,36,7.9,500.65,10.0,MORTGAGE,72000.0,1.0,credit_card,RI,12.83,0.0,0.0,8.0,29952.0,36.0,5304.66,12505.5,10695.35,1810.15,0.079,7.9
11000,11000,36,18.25,399.06,10.0,MORTGAGE,65000.0,1.0,debt_consolidation,FL,6.3,0.0,0.0,9.0,12197.0,11.0,0.0,13985.88,11000.0,2985.88,0.1825,18.25
8325,8325,36,14.65,287.17,5.0,RENT,20000.0,0.0,credit_card,NY,14.94,0.0,48.0,4.0,9022.0,8.0,0.0,2408.78,1345.89,662.2,0.1465,14.65
16000,16000,60,13.99,372.21,5.0,RENT,110000.0,1.0,major_purchase,NJ,11.86,0.0,0.0,14.0,31935.0,29.0,0.0,16909.34,16000.0,909.34,0.1399,13.99
12000,12000,36,6.62,368.45,10.0,MORTGAGE,75000.0,1.0,debt_consolidation,TX,10.2,0.0,0.0,9.0,14506.0,42.0,3929.61,9202.25,8070.39,1131.86,0.0662,6.62
20000,20000,36,14.27,686.18,5.0,RENT,65000.0,1.0,house,NY,12.2,0.0,0.0,10.0,14604.0,18.0,0.0,23658.4,20000.0,3658.4,0.1427,14.27
12000,12000,36,11.71,396.92,5.0,RENT,35000.0,1.0,debt_consolidation,MO,16.8,0.0,0.0,5.0,10641.0,12.0,4132.71,9907.75,7867.28,2040.47,0.11710000000000001,11.71
17000,17000,36,9.91,547.83,10.0,MORTGAGE,81000.0,1.0,debt_consolidation,NJ,17.2,0.0,0.0,13.0,22555.0,26.0,0.0,18661.76,17000.0,1661.76,0.09910000000000001,9.91
5000,5000,36,14.65,172.48,0.0,RENT,150000.0,0.0,debt_consolidation,NY,1.63,1.0,18.0,9.0,3847.0,18.0,0.0,1895.08,1301.95,593.13,0.1465,14.65
6575,6575,36,11.71,217.48,1.0,RENT,90000.0,1.0,credit_card,CA,7.13,0.0,0.0,6.0,10254.0,18.0,2270.43,5421.0,4304.57,1116.43,0.11710000000000001,11.71
16000,16000,36,6.03,486.97,0.0,OTHER,60000.0,1.0,debt_consolidation,TX,20.55,0.0,0.0,14.0,16048.0,31.0,5199.45,12173.25,10800.55,1372.7,0.0603,6.03
30000,30000,60,20.89,809.75,2.0,RENT,66996.0,1.0,debt_consolidation,FL,18.18,0.0,50.0,9.0,12106.0,32.0,21114.73,20187.5,8885.28,11302.22,0.2089,20.89
15000,15000,36,7.9,469.36,10.0,MORTGAGE,78000.0,1.0,debt_consolidation,MI,4.91,0.0,0.0,5.0,23185.0,10.0,4970.68,11726.75,10029.32,1697.43,0.079,7.9
7000,7000,36,7.9,219.04,10.0,RENT,85000.0,1.0,debt_consolidation,CA,24.58,0.0,0.0,7.0,26078.0,18.0,0.0,7538.26,7000.0,538.26,0.079,7.9
2000,2000,36,15.96,70.28,2.0,MORTGAGE,40000.0,1.0,renewable_energy,MD,15.03,0.0,0.0,8.0,10553.0,16.0,721.15,1748.0,1278.85,469.15,0.15960000000000002,15.96
14500,14500,36,7.51,451.11,7.0,MORTGAGE,150000.0,1.0,small_business,CA,5.13,0.0,0.0,14.0,18638.0,41.0,0.0,15436.71,14500.0,936.71,0.0751,7.51
28000,28000,60,14.65,660.99,9.0,RENT,76000.0,1.0,small_business,MD,20.54,0.0,0.0,11.0,13594.0,19.0,18736.71,16521.75,9263.29,7258.46,0.1465,14.65
9500,9500,36,10.65,309.45,1.0,RENT,42000.0,1.0,debt_consolidation,MA,17.46,0.0,0.0,6.0,7672.0,18.0,3238.0,7725.45,6262.01,1463.44,0.1065,10.65
10000,10000,36,16.29,353.01,10.0,MORTGAGE,76500.0,1.0,debt_consolidation,WA,19.29,0.0,0.0,11.0,20940.0,18.0,3588.5,8819.49,6411.5,2407.99,0.1629,16.29
24925,24925,36,12.69,836.11,10.0,MORTGAGE,60000.0,1.0,credit_card,CA,22.94,1.0,1.0,12.0,37548.0,30.0,0.0,26858.56,24925.01,1933.55,0.12689999999999999,12.69
11000,11000,36,9.91,354.48,3.0,RENT,40000.0,1.0,credit_card,CA,13.57,0.0,0.0,16.0,9276.0,25.0,0.0,11807.58,11000.0,807.58,0.09910000000000001,9.91
13200,13200,36,8.9,419.15,9.0,RENT,50000.0,1.0,debt_consolidation,MI,18.89,0.0,0.0,8.0,6836.0,13.0,4419.03,10469.87,8780.97,1688.9,0.08900000000000001,8.9
12000,12000,36,10.65,390.88,10.0,OTHER,89000.0,1.0,debt_consolidation,VA,5.38,0.0,0.0,7.0,11939.0,8.0,0.0,13721.6,12000.0,1721.6,0.1065,10.65
4500,4500,36,8.9,142.89,3.0,OTHER,54000.0,1.0,credit_card,NC,24.44,0.0,0.0,11.0,23210.0,22.0,0.0,4796.1,4500.0,296.1,0.08900000000000001,8.9
6000,6000,36,12.42,200.5,6.0,MORTGAGE,91000.0,1.0,debt_consolidation,IL,20.99,0.0,0.0,21.0,26434.0,37.0,2081.99,5002.42,3918.01,1084.41,0.1242,12.42
4000,4000,36,12.69,134.18,10.0,MORTGAGE,66000.0,0.0,wedding,NJ,21.09,0.0,0.0,11.0,10054.0,29.0,0.0,800.82,563.07,237.75,0.12689999999999999,12.69
28000,28000,36,6.62,859.71,3.0,MORTGAGE,90000.0,1.0,debt_consolidation,TX,15.76,0.0,0.0,8.0,22480.0,20.0,0.0,29480.44,28000.0,1480.44,0.0662,6.62
28000,28000,36,18.55,1020.01,0.0,MORTGAGE,160000.0,1.0,credit_card,CA,12.01,1.0,18.0,12.0,15969.0,29.0,11100.0,24471.6,16900.0,7571.6,0.1855,18.55
16000,16000,60,11.71,353.58,9.0,RENT,38985.0,1.0,credit_card,VA,24.53,0.0,0.0,14.0,16446.0,24.0,10451.1,8821.98,5548.89,3273.09,0.11710000000000001,11.71
7000,7000,36,8.9,222.28,4.0,OTHER,28000.0,0.0,debt_consolidation,IL,19.2,0.0,0.0,7.0,6908.0,17.0,2951.74,4882.24,4048.26,833.98,0.08900000000000001,8.9
17000,17000,36,7.9,531.94,9.0,MORTGAGE,77000.0,1.0,small_business,TX,19.23,0.0,0.0,12.0,58851.0,48.0,5630.74,13293.46,11369.26,1924.2,0.079,7.9
11000,11000,36,12.12,365.99,1.0,MORTGAGE,82000.0,1.0,debt_consolidation,CA,3.37,0.0,0.0,2.0,7657.0,7.0,0.0,12755.05,11000.0,1755.05,0.12119999999999999,12.12
8000,8000,36,7.51,248.89,6.0,MORTGAGE,28000.0,1.0,major_purchase,MO,7.39,0.0,73.0,7.0,4812.0,10.0,2655.31,6201.61,5344.69,856.92,0.0751,7.51
10200,10200,36,6.03,310.45,6.0,OTHER,42000.0,1.0,debt_consolidation,MA,17.77,1.0,12.0,13.0,16803.0,22.0,3899.34,7137.82,6300.66,837.16,0.0603,6.03
12275,12275,36,10.65,399.84,3.0,RENT,40000.0,1.0,debt_consolidation,CA,22.26,0.0,64.0,7.0,10111.0,20.0,4190.83,9973.44,8084.17,1889.27,0.1065,10.65
10000,10000,36,7.9,312.91,9.0,RENT,40000.0,1.0,credit_card,MA,20.58,0.0,0.0,4.0,7973.0,15.0,3316.31,7814.83,6683.69,1131.14,0.079,7.9
11000,11000,36,6.03,334.8,2.0,MORTGAGE,30000.0,1.0,debt_consolidation,MO,9.49,0.0,0.0,6.0,5770.0,15.0,3576.98,8366.4,7423.02,943.38,0.0603,6.03
4125,4125,36,7.51,128.34,3.0,MORTGAGE,47000.0,1.0,debt_consolidation,NH,10.93,0.0,0.0,11.0,16626.0,26.0,1374.68,3191.22,2750.32,440.9,0.0751,7.51
15000,15000,36,7.9,469.36,1.0,RENT,31200.0,1.0,wedding,MA,16.04,0.0,0.0,7.0,2820.0,18.0,4968.98,11728.72,10031.02,1697.7,0.079,7.9
35000,35000,36,19.03,1283.5,2.0,MORTGAGE,98400.0,1.0,small_business,CA,15.93,5.0,20.0,12.0,21816.0,23.0,0.0,44231.08,35000.0,9231.08,0.19030000000000002,19.03
12000,12000,36,10.65,390.88,10.0,OTHER,55000.0,1.0,debt_consolidation,WY,17.39,0.0,0.0,7.0,30667.0,18.0,4094.12,9753.52,7905.88,1847.64,0.1065,10.65
16950,16950,36,12.69,568.59,1.0,RENT,31200.0,1.0,debt_consolidation,FL,16.0,0.0,0.0,10.0,14069.0,19.0,0.0,18685.73,16950.0,1735.73,0.12689999999999999,12.69
24000,24000,60,19.03,622.97,10.0,RENT,90000.0,1.0,debt_consolidation,CA,3.63,0.0,0.0,6.0,8568.0,15.0,17019.25,14872.59,6980.74,7891.85,0.19030000000000002,19.03
8500,8500,36,11.71,281.15,0.0,RENT,16594.0,1.0,debt_consolidation,AZ,7.95,0.0,0.0,3.0,8562.0,14.0,2933.04,7010.75,5566.96,1443.79,0.11710000000000001,11.71
21000,21000,60,19.42,549.62,3.0,MORTGAGE,57000.0,1.0,debt_consolidation,FL,16.19,0.0,0.0,6.0,6266.0,10.0,14612.76,13710.5,6387.24,7323.26,0.1942,19.42
35000,35000,36,17.58,1257.98,10.0,RENT,417000.0,1.0,small_business,MI,0.72,0.0,0.0,11.0,21463.0,12.0,0.0,39691.38,35000.0,4691.38,0.17579999999999998,17.58
21000,21000,36,9.91,676.73,7.0,MORTGAGE,80000.0,1.0,debt_consolidation,FL,7.41,0.0,72.0,5.0,13325.0,22.0,0.0,23634.86,21000.0,2634.86,0.09910000000000001,9.91
6000,6000,36,15.96,210.83,9.0,RENT,150000.0,1.0,major_purchase,NJ,16.78,0.0,52.0,18.0,33977.0,28.0,2336.48,5042.64,3663.52,1379.12,0.15960000000000002,15.96
8000,8000,60,13.49,184.04,2.0,RENT,70000.0,1.0,small_business,CA,12.65,1.0,20.0,6.0,5940.0,22.0,0.0,9154.93,8000.0,1154.93,0.1349,13.49
8800,8800,36,12.42,294.06,4.0,OTHER,40000.0,1.0,credit_card,IL,20.13,0.0,0.0,7.0,11347.0,18.0,3316.36,7039.2,5483.65,1555.55,0.1242,12.42
30000,30000,36,16.29,1059.02,10.0,RENT,105000.0,1.0,debt_consolidation,AK,15.45,0.0,0.0,8.0,11118.0,11.0,11669.72,25394.88,18330.28,7064.6,0.1629,16.29
6400,6400,36,9.91,206.24,3.0,MORTGAGE,63800.0,1.0,credit_card,CA,6.08,0.0,0.0,7.0,12558.0,11.0,2361.53,4932.0,4038.47,893.53,0.09910000000000001,9.91
10400,10400,36,12.69,348.87,2.0,RENT,71000.0,1.0,credit_card,WA,10.12,0.0,0.0,8.0,24217.0,13.0,3890.16,8374.96,6509.84,1865.12,0.12689999999999999,12.69
4000,4000,36,6.03,121.75,5.0,MORTGAGE,115000.0,1.0,home_improvement,NJ,6.55,0.0,0.0,10.0,6544.0,16.0,0.0,4177.6,4000.0,177.6,0.0603,6.03
10000,10000,36,10.65,325.74,5.0,RENT,34000.0,1.0,debt_consolidation,TX,12.56,1.0,19.0,5.0,14087.0,9.0,3700.26,7807.68,6299.74,1507.94,0.1065,10.65
14000,14000,36,9.91,451.15,2.0,RENT,25356.0,0.0,small_business,NC,16.56,0.0,0.0,4.0,0.0,4.0,0.0,928.49,335.17,115.49,0.09910000000000001,9.91
35000,35000,60,21.28,952.39,0.0,MORTGAGE,80000.04,1.0,house,MO,14.47,0.0,51.0,14.0,19946.0,20.0,0.0,40929.44,35000.0,5929.44,0.21280000000000002,21.28
34475,34475,60,11.71,761.84,7.0,MORTGAGE,73000.0,1.0,house,MD,17.19,0.0,0.0,11.0,21744.0,30.0,23042.35,18268.8,11432.65,6836.15,0.11710000000000001,11.71
10000,10000,36,7.51,311.11,10.0,MORTGAGE,65000.0,1.0,credit_card,MN,19.2,0.0,46.0,9.0,18917.0,29.0,3597.68,7452.72,6402.33,1050.39,0.0751,7.51
